Real_Goal,Time,Cost,Prob,Results
1,152045918,587572708/50/,0.0/1.0/,1/
0,177078638,50/191073762/,1.0/0.0/,0/
1,173061853,476308/582/,0.0/1.0/,1/
0,175638163,50/587572708/,1.0/0.0/,0/
1,170419637,587572708/50/,0.0/1.0/,1/
0,167368014,50/1783526897/,1.0/0.0/,0/
1,158596182,587572708/50/,0.0/1.0/,1/
0,173507547,50/587572708/,1.0/0.0/,0/
1,169577841,587572708/50/,0.0/1.0/,1/
0,182286800,50/61218842/,1.0/0.0/,0/
1,167044760,1216/191073762/,1.0/0.0/,0/
0,167741645,191073762/4269/,0.0/1.0/,1/
1,167762473,1230/4709405/,1.0/0.0/,0/
0,186855916,191073762/1324/,0.0/1.0/,1/
1,215770622,15447/14449899/,1.0/0.0/,0/
0,172005739,191073762/3971/,0.0/1.0/,1/
1,186126844,4365/4654732/,1.0/0.0/,0/
0,161105626,587572708/1709/,0.0/1.0/,1/
1,170526472,405/2250207/,1.0/0.0/,0/
0,156802740,587572708/1663/,0.0/1.0/,1/
